id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
PG0,,,,,,,set(),Text
PG1,The Declaration of Independence of the United States of America,"Jefferson, Thomas",1743.0,1826.0,['en'],604.0,"{'United States -- History -- Revolution, 1775-1783 -- Sources', 'United States. Declaration of Independence'}",Text
PG2,The United States Bill of Rights: The Ten Original Amendments to the Constitution of the United States,United States,,,['en'],158.0,"{'Civil rights -- United States -- Sources', 'United States. Constitution. 1st-10th Amendments'}",Text
PG3,John F. Kennedy's Inaugural Address,"Kennedy, John F. (John Fitzgerald)",1917.0,1963.0,['en'],28.0,"{'Presidents -- United States -- Inaugural addresses', 'United States -- Foreign relations -- 1961-1963'}",Text
PG4,"Lincoln's Gettysburg Address: Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA","Lincoln, Abraham",1809.0,1865.0,['en'],55.0,"{'Consecration of cemeteries -- Pennsylvania -- Gettysburg', 'Lincoln, Abraham, 1809-1865. Gettysburg address', ""Soldiers' National Cemetery (Gettysburg, Pa.)""}",Text
PG5,The United States Constitution,United States,,,['en'],226.0,"{'United States. Constitution', 'United States -- Politics and government -- 1783-1789 -- Sources'}",Text
PG6,Give Me Liberty or Give Me Death,"Henry, Patrick",1736.0,1799.0,['en'],54.0,"{'United States -- Politics and government -- 1775-1783 -- Sources', 'Speeches, addresses, etc., American', 'Virginia -- Politics and government -- 1775-1783 -- Sources'}",Text
PG7,The Mayflower Compact,,,,['en'],24.0,"{'Massachusetts -- History -- New Plymouth, 1620-1691 -- Sources', 'Pilgrims (New Plymouth Colony)', 'Mayflower Compact (1620)'}",Text
PG8,Abraham Lincoln's Second Inaugural Address,"Lincoln, Abraham",1809.0,1865.0,['en'],25.0,"{'United States -- Politics and government -- 1861-1865', 'Presidents -- United States -- Inaugural addresses'}",Text
PG9,Abraham Lincoln's First Inaugural Address,"Lincoln, Abraham",1809.0,1865.0,['en'],36.0,"{'United States -- Politics and government -- 1861-1865', 'Presidents -- United States -- Inaugural addresses'}",Text
PG10,The King James Version of the Bible,,,,['en'],3818.0,{'Bible'},Text
PG11,Alice's Adventures in Wonderland,"Carroll, Lewis",1832.0,1898.0,['en'],16547.0,{'Fantasy literature'},Text
PG12,Through the Looking-Glass,"Carroll, Lewis",1832.0,1898.0,['en'],3033.0,{'Fantasy literature'},Text
PG13,The Hunting of the Snark: An Agony in Eight Fits,"Carroll, Lewis",1832.0,1898.0,['en'],254.0,"{'Nonsense verses, English'}",Text
PG14,The 1990 CIA World Factbook,United States. Central Intelligence Agency,,,['en'],125.0,"{'Political statistics -- Handbooks, manuals, etc.', 'Political science -- Handbooks, manuals, etc.', 'World politics -- Handbooks, manuals, etc.', 'Geography -- Handbooks, manuals, etc.'}",Text
PG15,Moby Dick,"Melville, Herman",1819.0,1891.0,['en'],905.0,"{'Mentally ill -- Fiction', 'Whaling ships -- Fiction', 'Ahab, Captain (Fictitious character) -- Fiction', 'Ship captains -- Fiction', 'Whales -- Fiction', 'Sea stories', 'Adventure stories', 'Psychological fiction', 'Whaling -- Fiction'}",Text
PG16,Peter Pan,"Barrie, J. M. (James Matthew)",1860.0,1937.0,['en'],5359.0,"{'Fantasy literature', 'Pirates -- Fiction', 'Fairies -- Fiction', 'Never-Never Land (Imaginary place) -- Fiction', 'Peter Pan (Fictitious character) -- Fiction'}",Text
PG17,The Book of Mormon: An Account Written by the Hand of Mormon Upon Plates Taken from the Plates of Nephi,Church of Jesus Christ of Latter-day Saints,,,['en'],226.0,"{'Church of Jesus Christ of Latter-day Saints -- Sacred books', 'Mormon Church -- Sacred books'}",Text
PG18,The Federalist Papers,"Jay, John",1745.0,1829.0,['en'],461.0,"{'Constitutional history -- United States -- Sources', 'Constitutional law -- United States'}",Text
PG19,The Song of Hiawatha,"Longfellow, Henry Wadsworth",1807.0,1882.0,['en'],199.0,"{'Indians of North America -- Poetry', 'Hiawatha, active 15th century -- Poetry', 'Iroquois Indians -- Kings and rulers -- Poetry'}",Text
PG20,Paradise Lost,"Milton, John",1608.0,1674.0,['en'],2074.0,"{'Adam (Biblical figure) -- Poetry', 'Eve (Biblical figure) -- Poetry', 'Fall of man -- Poetry', 'Bible. Genesis -- History of Biblical events -- Poetry'}",Text
PG21,Aesop's Fables: Translated by George Fyler Townsend,Aesop,,,['en'],396.0,"{""Aesop's fables -- Translations into English"", 'Fables, Greek -- Translations into English'}",Text
PG22,Roget's Thesaurus,"Roget, Peter Mark",1779.0,1869.0,['en'],236.0,{'English language -- Synonyms and antonyms'},Text
PG23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick",1818.0,1895.0,['en'],4193.0,"{'Slaves -- United States -- Biography', 'Douglass, Frederick, 1818-1895', 'Abolitionists -- United States -- Biography', 'African American abolitionists -- Biography'}",Text
PG24,O Pioneers!,"Cather, Willa",1873.0,1947.0,['en'],448.0,"{'Swedish Americans -- Fiction', 'Domestic fiction', 'Frontier and pioneer life -- Nebraska -- Fiction', 'Women immigrants -- Fiction', 'Women pioneers -- Fiction', 'Farm life -- Fiction', 'Women farmers -- Fiction', 'Brothers and sisters -- Fiction', 'Nebraska -- Fiction', 'Historical fiction'}",Text
PG25,The 1991 CIA World Factbook,United States. Central Intelligence Agency,,,['en'],53.0,"{'Political statistics -- Handbooks, manuals, etc.', 'Political science -- Handbooks, manuals, etc.', 'World politics -- Handbooks, manuals, etc.', 'Geography -- Handbooks, manuals, etc.'}",Text
PG26,Paradise Lost,"Milton, John",1608.0,1674.0,['en'],737.0,"{'Adam (Biblical figure) -- Poetry', 'Eve (Biblical figure) -- Poetry', 'Fall of man -- Poetry', 'Bible. Genesis -- History of Biblical events -- Poetry'}",Text
PG27,Far from the Madding Crowd,"Hardy, Thomas",1840.0,1928.0,['en'],411.0,"{'Love stories', 'Wessex (England) -- Fiction', 'Women farmers -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Farm life -- Fiction', 'Didactic fiction', 'Pastoral fiction'}",Text
